2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@539d019
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@39a2bb97
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration string -> org.hibernate.type.BasicTypeReference@3ad2e17
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@3ad2e17
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.BasicTypeReference@8c3619e
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.BasicTypeReference@4331d187
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.BasicTypeReference@4331d187
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.BasicTypeReference@4331d187
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@6f63b475
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration text -> org.hibernate.type.BasicTypeReference@554e218
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.BasicTypeReference@1608bcbd
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.BasicTypeReference@5bf8fa12
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@5bf8fa12
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.BasicTypeReference@29ca3d04
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@29ca3d04
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@b2c5e07
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@5812f68b
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@4426bff1
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@3c7c886c
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@55493582
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@1a20270e
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.BasicTypeReference@6b88ca8c
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@6b88ca8c
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@336f1079
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@336f1079
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@2f16c6b3
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@2f16c6b3
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@34158c08
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@34158c08
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@19e4fcac
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@19e4fcac
