N, M, K, Matrix Type, Method, Type, Thread Count, Output File, Average Execution Time (ms)
10000, 10000, 5, STATIC, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_10000_10000_5_8_STATIC.txt, 3956.64800000000000000000
10000, 10000, 5, STATIC, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_10000_10000_5_16_STATIC.txt, 4947.72800000000000000000
10, 10, 3, DYNAMIC, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10_10_3_4_DYNAMIC.txt, .05096660000000000000
1000, 1000, 5, DYNAMIC, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_1000_1000_5_2_DYNAMIC.txt, 92.04903000000000000000
1000, 1000, 5, DYNAMIC, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_1000_1000_5_4_DYNAMIC.txt, 75.59998000000000000000
1000, 1000, 5, DYNAMIC, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_1000_1000_5_8_DYNAMIC.txt, 42.07956000000000000000
1000, 1000, 5, DYNAMIC, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_1000_1000_5_16_DYNAMIC.txt, 43.48379000000000000000
10, 10000, 5, DYNAMIC, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_10_10000_5_2_DYNAMIC.txt, 9.66329800000000000000
10, 10000, 5, DYNAMIC, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10_10000_5_4_DYNAMIC.txt, 6.03749600000000000000
10, 10000, 5, DYNAMIC, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_10_10000_5_8_DYNAMIC.txt, 5.70546800000000000000
10, 10000, 5, DYNAMIC, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_10_10000_5_16_DYNAMIC.txt, 4.98939200000000000000
10000, 10, 5, DYNAMIC, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_10000_10_5_2_DYNAMIC.txt, 9.76320600000000000000
10000, 10, 5, DYNAMIC, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10000_10_5_4_DYNAMIC.txt, 6.22596400000000000000
10000, 10, 5, DYNAMIC, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_10000_10_5_8_DYNAMIC.txt, 5.12520400000000000000
10000, 10, 5, DYNAMIC, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_10000_10_5_16_DYNAMIC.txt, 5.14137000000000000000
10000, 10000, 5, DYNAMIC, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_10000_10000_5_2_DYNAMIC.txt, 13142.80000000000000000000
10000, 10000, 5, DYNAMIC, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10000_10000_5_4_DYNAMIC.txt, 7125.27600000000000000000
10000, 10000, 5, DYNAMIC, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_10000_10000_5_8_DYNAMIC.txt, 5625.02500000000000000000
10000, 10000, 5, DYNAMIC, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_10000_10000_5_16_DYNAMIC.txt, 5463.60400000000000000000
10, 10, 3, STATIC, BLOCK, , 4, output_BLOCK__10_10_3_4_STATIC.txt, 34.07862000000000000000
1000, 1000, 5, STATIC, BLOCK, , 2, output_BLOCK__1000_1000_5_2_STATIC.txt, 106.25020000000000000000
1000, 1000, 5, STATIC, BLOCK, , 4, output_BLOCK__1000_1000_5_4_STATIC.txt, 75.66026000000000000000
1000, 1000, 5, STATIC, BLOCK, , 8, output_BLOCK__1000_1000_5_8_STATIC.txt, 100.42116000000000000000
1000, 1000, 5, STATIC, BLOCK, , 16, output_BLOCK__1000_1000_5_16_STATIC.txt, 72.04367000000000000000
10, 10000, 5, STATIC, BLOCK, , 2, output_BLOCK__10_10000_5_2_STATIC.txt, 33.44135000000000000000
10, 10000, 5, STATIC, BLOCK, , 4, output_BLOCK__10_10000_5_4_STATIC.txt, 29.40972000000000000000
10, 10000, 5, STATIC, BLOCK, , 8, output_BLOCK__10_10000_5_8_STATIC.txt, 27.67829000000000000000
10, 10000, 5, STATIC, BLOCK, , 16, output_BLOCK__10_10000_5_16_STATIC.txt, 28.23942000000000000000
10000, 10, 5, STATIC, BLOCK, , 2, output_BLOCK__10000_10_5_2_STATIC.txt, 35.33994000000000000000
10000, 10, 5, STATIC, BLOCK, , 4, output_BLOCK__10000_10_5_4_STATIC.txt, 29.60539000000000000000
10000, 10, 5, STATIC, BLOCK, , 8, output_BLOCK__10000_10_5_8_STATIC.txt, 29.23445000000000000000
10000, 10, 5, STATIC, BLOCK, , 16, output_BLOCK__10000_10_5_16_STATIC.txt, 32.66616000000000000000
10, 10, 3, DYNAMIC, BLOCK, , 4, output_BLOCK__10_10_3_4_DYNAMIC.txt, .05908740000000000000
1000, 1000, 5, DYNAMIC, BLOCK, , 2, output_BLOCK__1000_1000_5_2_DYNAMIC.txt, 90.70019000000000000000
1000, 1000, 5, DYNAMIC, BLOCK, , 4, output_BLOCK__1000_1000_5_4_DYNAMIC.txt, 47.80454000000000000000
1000, 1000, 5, DYNAMIC, BLOCK, , 8, output_BLOCK__1000_1000_5_8_DYNAMIC.txt, 41.96244000000000000000
1000, 1000, 5, DYNAMIC, BLOCK, , 16, output_BLOCK__1000_1000_5_16_DYNAMIC.txt, 43.54244000000000000000
10, 10000, 5, DYNAMIC, BLOCK, , 2, output_BLOCK__10_10000_5_2_DYNAMIC.txt, 9.40928000000000000000
10, 10000, 5, DYNAMIC, BLOCK, , 4, output_BLOCK__10_10000_5_4_DYNAMIC.txt, 5.76993400000000000000
10, 10000, 5, DYNAMIC, BLOCK, , 8, output_BLOCK__10_10000_5_8_DYNAMIC.txt, 5.28344200000000000000
10, 10000, 5, DYNAMIC, BLOCK, , 16, output_BLOCK__10_10000_5_16_DYNAMIC.txt, 4.70936700000000000000
10000, 10, 5, DYNAMIC, BLOCK, , 2, output_BLOCK__10000_10_5_2_DYNAMIC.txt, 9.60664100000000000000
10000, 10, 5, DYNAMIC, BLOCK, , 4, output_BLOCK__10000_10_5_4_DYNAMIC.txt, 5.20927500000000000000
10000, 10, 5, DYNAMIC, BLOCK, , 8, output_BLOCK__10000_10_5_8_DYNAMIC.txt, 6.02642400000000000000
10000, 10, 5, DYNAMIC, BLOCK, , 16, output_BLOCK__10000_10_5_16_DYNAMIC.txt, 4.47870400000000000000
10, 10, 3, STATIC, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_10_10_3_4_STATIC.txt, 42.13103000000000000000
1000, 1000, 5, STATIC, DISTRIBUTION, LINEAR, 2, output_DISTRIBUTION_LINEAR_1000_1000_5_2_STATIC.txt, 137.26520000000000000000
1000, 1000, 5, STATIC, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_1000_1000_5_4_STATIC.txt, 106.66432000000000000000
1000, 1000, 5, STATIC, DISTRIBUTION, LINEAR, 8, output_DISTRIBUTION_LINEAR_1000_1000_5_8_STATIC.txt, 71.73505000000000000000
1000, 1000, 5, STATIC, DISTRIBUTION, LINEAR, 16, output_DISTRIBUTION_LINEAR_1000_1000_5_16_STATIC.txt, 71.61851000000000000000
10, 10000, 5, STATIC, DISTRIBUTION, LINEAR, 2, output_DISTRIBUTION_LINEAR_10_10000_5_2_STATIC.txt, 32.29593000000000000000
10, 10000, 5, STATIC, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_10_10000_5_4_STATIC.txt, 28.26270000000000000000
10, 10000, 5, STATIC, DISTRIBUTION, LINEAR, 8, output_DISTRIBUTION_LINEAR_10_10000_5_8_STATIC.txt, 27.79077000000000000000
10, 10000, 5, STATIC, DISTRIBUTION, LINEAR, 16, output_DISTRIBUTION_LINEAR_10_10000_5_16_STATIC.txt, 27.39757000000000000000
10000, 10, 5, STATIC, DISTRIBUTION, LINEAR, 2, output_DISTRIBUTION_LINEAR_10000_10_5_2_STATIC.txt, 34.05115000000000000000
10000, 10, 5, STATIC, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_10000_10_5_4_STATIC.txt, 29.26926000000000000000
10000, 10, 5, STATIC, DISTRIBUTION, LINEAR, 8, output_DISTRIBUTION_LINEAR_10000_10_5_8_STATIC.txt, 29.64506000000000000000
10000, 10, 5, STATIC, DISTRIBUTION, LINEAR, 16, output_DISTRIBUTION_LINEAR_10000_10_5_16_STATIC.txt, 28.57643000000000000000
10, 10, 3, DYNAMIC, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_10_10_3_4_DYNAMIC.txt, .04992910000000000000
1000, 1000, 5, DYNAMIC, DISTRIBUTION, LINEAR, 2, output_DISTRIBUTION_LINEAR_1000_1000_5_2_DYNAMIC.txt, 91.56654000000000000000
1000, 1000, 5, DYNAMIC, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_1000_1000_5_4_DYNAMIC.txt, 50.05716000000000000000
1000, 1000, 5, DYNAMIC, DISTRIBUTION, LINEAR, 8, output_DISTRIBUTION_LINEAR_1000_1000_5_8_DYNAMIC.txt, 40.57822000000000000000
1000, 1000, 5, DYNAMIC, DISTRIBUTION, LINEAR, 16, output_DISTRIBUTION_LINEAR_1000_1000_5_16_DYNAMIC.txt, 37.84772000000000000000
10, 10000, 5, DYNAMIC, DISTRIBUTION, LINEAR, 2, output_DISTRIBUTION_LINEAR_10_10000_5_2_DYNAMIC.txt, 9.13334900000000000000
10, 10000, 5, DYNAMIC, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_10_10000_5_4_DYNAMIC.txt, 4.90809300000000000000
10, 10000, 5, DYNAMIC, DISTRIBUTION, LINEAR, 8, output_DISTRIBUTION_LINEAR_10_10000_5_8_DYNAMIC.txt, 4.13250500000000000000
10, 10000, 5, DYNAMIC, DISTRIBUTION, LINEAR, 16, output_DISTRIBUTION_LINEAR_10_10000_5_16_DYNAMIC.txt, 3.89684600000000000000
10000, 10, 5, DYNAMIC, DISTRIBUTION, LINEAR, 2, output_DISTRIBUTION_LINEAR_10000_10_5_2_DYNAMIC.txt, 9.19496600000000000000
10000, 10, 5, DYNAMIC, DISTRIBUTION, LINEAR, 4, output_DISTRIBUTION_LINEAR_10000_10_5_4_DYNAMIC.txt, 4.84635500000000000000
10000, 10, 5, DYNAMIC, DISTRIBUTION, LINEAR, 8, output_DISTRIBUTION_LINEAR_10000_10_5_8_DYNAMIC.txt, 4.24867500000000000000
10000, 10, 5, DYNAMIC, DISTRIBUTION, LINEAR, 16, output_DISTRIBUTION_LINEAR_10000_10_5_16_DYNAMIC.txt, 4.01700400000000000000
10, 10, 3, STATIC, DISTRIBUTION, CYCLIC, 4, output_DISTRIBUTION_CYCLIC_10_10_3_4_STATIC.txt, 30.21215000000000000000
